A0A087WZU1	phosphatidylinositol_phosphatase_ptprq
I3L182	serine/arginine_repetitive_matrix_protein_2
O00141	serine/threonine-protein_kinase_sgk1
O00141	serum/glucocorticoid-regulated_kinase_1
O00148	atp-dependent_rna_helicase_ddx39a
O00148	dead_box_protein_39
O00148	nuclear_rna_helicase_urh49
O00151	c-terminal_lim_domain_protein_1
O00151	elfin
O00151	lim_domain_protein_clp-36
O00151	pdz_and_lim_domain_protein_1
O00159	myosin_i_beta
O00159	unconventional_myosin-ic
O00178	gtp-binding_protein_1
O00206	htoll
O00206	toll-like_receptor_4
O00221	i-kappa-b-epsilon
O00221	nf-kappa-b_inhibitor_epsilon
O00231	26s_proteasome_non-atpase_regulatory_subunit_11
O00231	26s_proteasome_regulatory_subunit_p44.5
O00231	26s_proteasome_regulatory_subunit_rpn6
O00231	26s_proteasome_regulatory_subunit_s9
O00232	26s_proteasome_non-atpase_regulatory_subunit_12
O00232	26s_proteasome_regulatory_subunit_p55
O00232	26s_proteasome_regulatory_subunit_rpn5
O00238	bone_morphogenetic_protein_receptor_type-1b
O00241	cd172_antigen-like_family_member_b
O00241	signal-regulatory_protein_beta-1
O00257	chromobox_protein_homolog_4
O00257	e3_sumo-protein_ligase_cbx4
O00257	polycomb_2_homolog
O00264	dap1
O00264	iza
O00264	membrane-associated_progesterone_receptor_componendap1
O00303	deubiquitinating_enzyme_eif3f
O00303	eif3_p47
O00303	eif-3-epsilon
O00303	eukaryotic_translation_initiation_factor_3_subunitdeubiquitinating_enzyme_eif3f
O00303	eukaryotic_translation_initiation_factor_3_subuniteif-3-epsilon
O00330	dihydrolipoamide_dehydrogenase-binding_protein_of_e3-binding_protein
O00330	e3-binding_protein
O00330	lipoyl-containing_pyruvate_dehydrogenase_complex_cprox
O00330	prox
O00330	pyruvate_dehydrogenase_protein_x_component,_mitochdihydrolipoamide_dehydrogenase-binding_protein_of_e3-binding_protein
O00401	neural_wiskott-aldrich_syndrome_protein
O00410	importin_subunit_beta-3
O00410	importin-5
O00410	karyopherin_beta-3
O00410	ran-binding_protein_5
O00418	calcium/calmodulin-dependent_eukaryotic_elongation_factor_2_kinase
O00418	eukaryotic_elongation_factor_2_kinase
O00425	igf-ii_mrna-binding_protein_3
O00425	insulin-like_growth_factor_2_mrna-binding_protein_igf-ii_mrna-binding_protein_3
O00425	kh_domain-containing_protein_overexpressed_in_cancvickz_family_member_3
O00425	vickz_family_member_3
O00429	dnm1p/vps1p-like_protein
O00429	dynamin_family_member_proline-rich_carboxyl-termindynamin-like_protein
O00429	dynamin-1-like_protein
O00429	dynamin-like_protein
O00429	dynamin-like_protein_4
O00429	dynamin-like_protein_iv
O00429	dynamin-related_protein_1
O00442	rna_3'-terminal_phosphate_cyclase
O00442	rna_terminal_phosphate_cyclase_domain-containing_protein_1
O00443	phosphatidylinositol_4-phosphate_3-kinase_c2_domaiphosphoinositide_3-kinase-c2-alpha
O00443	phosphoinositide_3-kinase-c2-alpha
O00459	phosphatidylinositol_3-kinase_85_kda_regulatory_subunit_beta
O00459	phosphatidylinositol_3-kinase_regulatory_subunit_bphosphatidylinositol_3-kinase_85_kda_regulatory_subunit_beta
O00471	exocyst_complex_component_5
O00471	exocyst_complex_component_sec10
O00483	complex_i-mlrq
O00483	cytochrome_c_oxidase_subunit_ndufa4
O00483	nadh-ubiquinone_oxidoreductase_mlrq_subunit
O00487	26s_proteasome-associated_pad1_homolog_1
O00487	26s_proteasome_non-atpase_regulatory_subunit_14
O00487	26s_proteasome_regulatory_subunit_rpn11
O00507	deubiquitinating_enzyme_faf-y
O00507	fat_facets_protein-related,_y-linked
O00507	probable_ubiquitin_carboxyl-terminal_hydrolase_fafdeubiquitinating_enzyme_faf-y
O00507	ubiquitin_thioesterase_faf-y
O00507	ubiquitin-specific_protease_9,_y_chromosome
O00507	ubiquitin-specific-processing_protease_faf-y
O00567	nucleolar_protein_56
O00567	nucleolar_protein_5a
O00570	transcription_factor_sox-1
O00571	atp-dependent_rna_helicase_ddx3x
O00571	cap-rf
O00571	dead_box_protein_3,_x-chromosomal
O00571	dead_box,_x_isoform
O00571	helicase-like_protein_2
O00743	serine/threonine-protein_phosphatase_6_catalytic_sserine/threonine-protein_phosphatase_6_catalytic_subunit,_n-terminally_processed
O00743	serine/threonine-protein_phosphatase_6_catalytic_subunit,_n-terminally_processed
O00746	nm23-h4
O00746	nucleoside_diphosphate_kinase_d
O00746	nucleoside_diphosphate_kinase,_mitochondrial
O00750	c2-pi3k
O00750	phosphatidylinositol_4-phosphate_3-kinase_c2_domaic2-pi3k
O00750	phosphoinositide_3-kinase-c2-beta
O00763	acc-beta
O00763	acetyl-coa_carboxylase_2
O08736	caspase-12
O08901	bub1a
O08901	mitotic_checkpoint_serine/threonine-protein_kinasebub1a
O08917	flotillin-1
O14497	at-rich_interactive_domain-containing_protein_1a
O14497	b120
O14497	brg1-associated_factor_250
O14497	brg1-associated_factor_250a
O14497	held
O14497	osa_homolog_1
O14497	swi-like_protein
O14497	swi/snf_complex_protein_p270
O14497	swi/snf-related,_matrix-associated,_actin-dependenheld
O14522	receptor-type_tyrosine-protein_phosphatase_rho
O14522	receptor-type_tyrosine-protein_phosphatase_t
O14523	c2_domain-containing_protein_2-like
O14523	phospholipid_transfer_protein_c2cd2l
O14523	transmembrane_protein_24
O14545	protein_fln29
O14545	traf-type_zinc_finger_domain-containing_protein_1
O14654	160_kda_phosphotyrosine_protein
O14654	insulin_receptor_substrate_4
O14654	phosphoprotein_of_160_kda
O14672	cdw156
O14672	disintegrin_and_metalloproteinase_domain-containincdw156
O14672	kuzbanian_protein_homolog
O14672	mammalian_disintegrin-metalloprotease
O14733	c-jun_n-terminal_kinase_kinase_2
O14733	dual_specificity_mitogen-activated_protein_kinase_jnk-activating_kinase_2
O14733	jnk-activating_kinase_2
O14733	mapk/erk_kinase_7
O14733	stress-activated_protein_kinase_kinase_4
O14733-2	c-jun_n-terminal_kinase_kinase_2
O14733-2	isoform_2_of_dual_specificity_mitogen-activated_prjnk-activating_kinase_2
O14733-2	jnk-activating_kinase_2
O14733-2	mapk/erk_kinase_7
O14733-2	stress-activated_protein_kinase_kinase_4
O14744	72_kda_icln-binding_protein
O14744	histone-arginine_n-methyltransferase_prmt5
O14744	jak-binding_protein_1
O14744	protein_arginine_n-methyltransferase_5
O14744	protein_arginine_n-methyltransferase_5,_n-terminally_processed
O14744	shk1_kinase-binding_protein_1_homolog
O14745	ezrin-radixin-moesin-binding_phosphoprotein_50
O14745	na(+)/h(+)_exchange_regulatory_cofactor_nhe-rf1
O14745	regulatory_cofactor_of_na(+)/h(+)_exchanger
O14745	sodium-hydrogen_exchanger_regulatory_factor_1
O14745	solute_carrier_family_9_isoform_a3_regulatory_factor_1
O14757	cell_cycle_checkpoint_kinase
O14757	checkpoint_kinase-1
O14757	chk1_checkpoint_homolog
O14757	serine/threonine-protein_kinase_chk1
O14777	highly_expressed_in_cancer_protein
O14777	kinetochore_protein_hec1
O14777	kinetochore_protein_ndc80_homolog
O14777	kinetochore-associated_protein_2
O14777	retinoblastoma-associated_protein_hec
O14818	proteasome_subunit_alpha_type-7
O14818	proteasome_subunit_rc6-1
O14818	proteasome_subunit_xapc7
O14829	protein_phosphatase_with_ef_calcium-binding_domainserine/threonine-protein_phosphatase_7
O14829	serine/threonine-protein_phosphatase_7
O14829	serine/threonine-protein_phosphatase_with_ef-handsprotein_phosphatase_with_ef_calcium-binding_domainserine/threonine-protein_phosphatase_7
O14836	transmembrane_activator_and_caml_interactor
O14836	tumor_necrosis_factor_receptor_superfamily_member_transmembrane_activator_and_caml_interactor
O14862	absent_in_melanoma_2
O14862	interferon-inducible_protein_aim2
O14880	glutathione_peroxidase_mgst3
O14880	ltc4_synthase_mgst3
O14880	microsomal_glutathione_s-transferase_3
O14880	microsomal_glutathione_s-transferase_iii
O14920	i-kappa-b_kinase_2
O14920	inhibitor_of_nuclear_factor_kappa-b_kinase_subuniti-kappa-b_kinase_2
O14920	nuclear_factor_nf-kappa-b_inhibitor_kinase_beta
O14925	mitochondrial_import_inner_membrane_translocase_subunit_tim23
O14931-1	activating_natural_killer_receptor_p30
O14931-1	isoform_1_of_natural_cytotoxicity_triggering_recepactivating_natural_killer_receptor_p30
O14931-1	natural_killer_cell_p30-related_protein
O14931-2	activating_natural_killer_receptor_p30
O14931-2	isoform_2_of_natural_cytotoxicity_triggering_recepactivating_natural_killer_receptor_p30
O14931-2	natural_killer_cell_p30-related_protein
O14931-3	activating_natural_killer_receptor_p30
O14931-3	isoform_3_of_natural_cytotoxicity_triggering_recepactivating_natural_killer_receptor_p30
O14931-3	natural_killer_cell_p30-related_protein
O14936	calcium/calmodulin-dependent_serine_protein_kinaseprotein_lin-2_homolog
O14936	peripheral_plasma_membrane_protein_cask
O14936	protein_lin-2_homolog
O14939	choline_phosphatase_2
O14939	phosphatidylcholine-hydrolyzing_phospholipase_d2
O14939	phospholipase_d2
O14939	pld1c
O14950	mlc-2a
O14950	myosin_regulatory_light_chain_12b
O14950	myosin_regulatory_light_chain_20_kda
O14950	myosin_regulatory_light_chain_2-b,_smooth_muscle_imyosin_regulatory_light_chain_20_kda
O14950	myosin_regulatory_light_chain_mrlc2
O14950	shujun-1
O14964	hepatocyte_growth_factor-regulated_tyrosine_kinasehrs
O14964	hrs
O14964	protein_pp110
O14979	au-rich_element_rna-binding_factor
O14979	heterogeneous_nuclear_ribonucleoprotein_d-like
O14979	jkt41-binding_protein
O14979	protein_laauf1
O14980	chromosome_region_maintenance_1_protein_homolog
O14980	exportin-1
O14981	atp-dependent_helicase_btaf1
O14981	b-tfiid_transcription_factor-associated_170_kda_sutaf(ii)170
O14981	taf(ii)170
O14981	tata-binding_protein-associated_factor_172
O14981	tbp-associated_factor_172
O15027	protein_transport_protein_sec16a
O15027	sec16_homolog_a
O15042	140_kda_ser/arg-rich_domain_protein
O15042	u2_snrnp-associated_surp_motif-containing_protein
O15042	u2-associated_protein_sr140
O15067	formylglycinamide_ribonucleotide_amidotransferase
O15067	formylglycinamide_ribotide_amidotransferase
O15067	phosphoribosylformylglycinamidine_synthase
O15075	doublecortin_domain-containing_protein_3a
O15075	doublecortin-like_and_cam_kinase-like_1
O15075	doublecortin-like_kinase_1
O15075	serine/threonine-protein_kinase_dclk1
O15078	bardet-biedl_syndrome_14_protein
O15078	cancer/testis_antigen_87
O15078	centrosomal_protein_of_290_kda
O15078	nephrocystin-6
O15078	tumor_antigen_se2-2
O15105	mothers_against_decapentaplegic_homolog_7
O15105	mothers_against_decapentaplegic_homolog_8
O15105	smad_family_member_7
O15111	conserved_helix-loop-helix_ubiquitous_kinase
O15111	i-kappa-b_kinase_1
O15111	inhibitor_of_nuclear_factor_kappa-b_kinase_subunitconserved_helix-loop-helix_ubiquitous_kinase
O15111	nuclear_factor_nf-kappa-b_inhibitor_kinase_alpha
O15111	transcription_factor_16
O15116	cancer-associated_sm-like
O15116	small_nuclear_ribonuclear_casm
O15116	u6_snrna-associated_sm-like_protein_lsm1
O15117	adhesion_and_degranulation_promoting_adaptor_protefyb-120/130
O15117	fyb-120/130
O15117	fyn-binding_protein_1
O15117	fyn-t-binding_protein
O15117	slap-130
O15117	slp-76-associated_phosphoprotein
O15144	actin-related_protein_2/3_complex_subunit_2
O15144	arp2/3_complex_34_kda_subunit
O15160	ac40
O15160	dna-directed_rna_polymerases_i_and_iii_40_kda_polyrpa39
O15160	dna-directed_rna_polymerases_i_and_iii_subunit_rpaac40
O15160	rpa39
O15160	rpc40
O15259	juvenile_nephronophthisis_1_protein
O15259	nephrocystin-1
O15264	mitogen-activated_protein_kinase_13
O15264	mitogen-activated_protein_kinase_p38_delta
O15264	stress-activated_protein_kinase_4
O15269	long_chain_base_biosynthesis_protein_1
O15269	serine_palmitoyltransferase_1
O15269	serine-palmitoyl-coa_transferase_1
O15287	dna_repair_protein_xrcc9
O15287	fanconi_anemia_group_g_protein
O15297	p53-induced_protein_phosphatase_1
O15297	protein_phosphatase_1d
O15297	protein_phosphatase_2c_isoform_delta
O15297	protein_phosphatase_magnesium-dependent_1_delta
O15355	protein_phosphatase_1c
O15355	protein_phosphatase_1g
O15355	protein_phosphatase_2c_isoform_gamma
O15355	protein_phosphatase_magnesium-dependent_1_gamma
O15357	inositol_polyphosphate_phosphatase-like_protein_1
O15357	phosphatidylinositol_3,4,5-trisphosphate_5-phosphainositol_polyphosphate_phosphatase-like_protein_1
O15357	protein_51c
O15357	sh2_domain-containing_inositol_5'-phosphatase_2
O15379	histone_deacetylase_3
O15379	rpd3-2
O15379	smap45
O15409	cag_repeat_protein_44
O15409	forkhead_box_protein_p2
O15409	trinucleotide_repeat-containing_gene_10_protein
O15409-4	cag_repeat_protein_44
O15409-4	isoform_4_of_forkhead_box_protein_p2
O15409-4	trinucleotide_repeat-containing_gene_10_protein
O15496	group_10_secretory_phospholipase_a2
O15496	group_x_secretory_phospholipase_a2
O15496	phosphatidylcholine_2-acylhydrolase_10
O15511-2	arp2/3_complex_16_kda_subunit
O15511-2	isoform_2_of_actin-related_protein_2/3_complex_subarp2/3_complex_16_kda_subunit
O15524	jak-binding_protein
O15524	stat-induced_stat_inhibitor_1
O15524	suppressor_of_cytokine_signaling_1
O15524	tec-interacting_protein_3
O35182	mad_homolog_7
O35182	mothers_against_decapentaplegic_homolog_6
O35182	smad_family_member_6
O35305	osteoclast_differentiation_factor_receptor
O35305	receptor_activator_of_nf-kb
O35305	tumor_necrosis_factor_receptor_superfamily_member_osteoclast_differentiation_factor_receptor
O35730	e3_ubiquitin-protein_ligase_ring1
O35730	polycomb_complex_protein_ring1
O35730	ring_finger_protein_1
O35730	ring-type_e3_ubiquitin_transferase_ring1
O35730	transcription_repressor_ring1a
O40931	envelope_glycoprotein_m
O43143	atp-dependent_rna_helicase_#46
O43143	deah_box_protein_15
O43143	pre-mrna-splicing_factor_atp-dependent_rna_helicasatp-dependent_rna_helicase_#46
O43150	arf-gap_with_sh3_domain,_ank_repeat_and_ph_domain-development_and_differentiation-enhancing_factor_2paxillin-associated_protein_with_arf_gap_activity_pyk2_c-terminus-associated_protein
O43150	development_and_differentiation-enhancing_factor_2paxillin-associated_protein_with_arf_gap_activity_pyk2_c-terminus-associated_protein
O43150	paxillin-associated_protein_with_arf_gap_activity_pyk2_c-terminus-associated_protein
O43150	pyk2_c-terminus-associated_protein
O43150-2	development_and_differentiation-enhancing_factor_2paxillin-associated_protein_with_arf_gap_activity_pyk2_c-terminus-associated_protein
O43150-2	isoform_2_of_arf-gap_with_sh3_domain,_ank_repeat_adevelopment_and_differentiation-enhancing_factor_2paxillin-associated_protein_with_arf_gap_activity_pyk2_c-terminus-associated_protein
O43150-2	paxillin-associated_protein_with_arf_gap_activity_pyk2_c-terminus-associated_protein
O43150-2	pyk2_c-terminus-associated_protein
O43166	high-risk_human_papilloma_viruses_e6_oncoproteins_targeted_protein_1
O43166	signal-induced_proliferation-associated_1-like_prohigh-risk_human_papilloma_viruses_e6_oncoproteins_targeted_protein_1
O43169	cytochrome_b5_outer_mitochondrial_membrane_isoform
O43169	cytochrome_b5_type_b
O43175	2-oxoglutarate_reductase
O43175	d-3-phosphoglycerate_dehydrogenase
O43175	malate_dehydrogenase
O43187	interleukin-1_receptor-associated_kinase-like_2
O43209	tubulin_beta_chain
O43237	cytoplasmic_dynein_1_light_intermediate_chain_2
O43237	dynein_light_intermediate_chain_2,_cytosolic
O43237	lic53/55
O43242	26s_proteasome_non-atpase_regulatory_subunit_3
O43242	26s_proteasome_regulatory_subunit_rpn3
O43242	26s_proteasome_regulatory_subunit_s3
O43242	proteasome_subunit_p58
O43286	beta-1,4-galactosyltransferase_5
O43286	beta-1,4-galt_ii
O43286	glucosylceramide_beta-1,4-galactosyltransferase
O43286	lactosylceramide_synthase
O43286	udp-galactose:beta-n-acetylglucosamine_beta-1,4-galactosyltransferase_5
O43286	udp-gal:beta-glcnac_beta-1,4-galactosyltransferaseudp-galactose:beta-n-acetylglucosamine_beta-1,4-galactosyltransferase_5
O43290	snu66_homolog
O43290	squamous_cell_carcinoma_antigen_recognized_by_t-ceu4/u6.u5_tri-snrnp-associated_110_kda_protein
O43290	u4/u6.u5_tri-snrnp-associated_110_kda_protein
O43290	u4/u6.u5_tri-snrnp-associated_protein_1
O43293	dap-like_kinase
O43293	death-associated_protein_kinase_3
O43293	mypt1_kinase
O43293	zipper-interacting_protein_kinase
O43294	androgen_receptor-associated_protein_of_55_kda
O43294	androgen_receptor_coactivator_55_kda_protein
O43294	hydrogen_peroxide-inducible_clone_5_protein
O43294	transforming_growth_factor_beta-1-induced_transcriandrogen_receptor_coactivator_55_kda_protein
O43295	mental_disorder-associated_gap
O43295	rho_gtpase-activating_protein_14
O43295	slit-robo_rho_gtpase-activating_protein_3
O43295	wave-associated_rac_gtpase-activating_protein
O43301	heat_shock_70_kda_protein_12a
O43318	mitogen-activated_protein_kinase_kinase_kinase_7
O43318	transforming_growth_factor-beta-activated_kinase_1
O43318-1	isoform_1b_of_mitogen-activated_protein_kinase_kintransforming_growth_factor-beta-activated_kinase_1
O43318-1	transforming_growth_factor-beta-activated_kinase_1
O43318-2	isoform_1a_of_mitogen-activated_protein_kinase_kintransforming_growth_factor-beta-activated_kinase_1
O43318-2	transforming_growth_factor-beta-activated_kinase_1
O43318-3	isoform_1c_of_mitogen-activated_protein_kinase_kintransforming_growth_factor-beta-activated_kinase_1
O43318-3	transforming_growth_factor-beta-activated_kinase_1
O43353	card-containing_interleukin-1_beta-converting_enzyrip-like-interacting_clarp_kinase
O43353	receptor-interacting_protein_2
O43353	receptor-interacting_serine/threonine-protein_kinacard-containing_interleukin-1_beta-converting_enzyrip-like-interacting_clarp_kinase
O43353	rip-like-interacting_clarp_kinase
O43353	tyrosine-protein_kinase_ripk2
O43395	pre-mrna-splicing_factor_3
O43395	u4/u6_small_nuclear_ribonucleoprotein_prp3
O43395	u4/u6_snrnp_90_kda_protein
O43426	synaptic_inositol_1,4,5-trisphosphate_5-phosphatase_1
O43426	synaptojanin-1
O43432	eif-4-gamma_ii
O43432	eukaryotic_translation_initiation_factor_4_gamma_3eif-4-gamma_ii
O43439	eto_homologous_on_chromosome_20
O43439	mtg8-like_protein
O43439	mtg8-related_protein_1
O43439	myeloid_translocation-related_protein_1
O43439	p85
O43439	protein_cbfa2t2
O43464	high_temperature_requirement_protein_a2
O43464	omi_stress-regulated_endoprotease
O43464	serine_protease_25
O43464	serine_protease_htra2,_mitochondrial
O43464	serine_proteinase_omi
O43508	apo3_ligand
O43508	tnf-related_weak_inducer_of_apoptosis
O43508	tumor_necrosis_factor_ligand_superfamily_member_12apo3_ligand
O43508	tumor_necrosis_factor_ligand_superfamily_member_12,_secreted_form
O43508	tumor_necrosis_factor_ligand_superfamily_member_12tumor_necrosis_factor_ligand_superfamily_member_12,_secreted_form
O43516	protein_prpl-2
O43516	was/wasl-interacting_protein_family_member_1
O43516	wiskott-aldrich_syndrome_protein-interacting_protein
O43561	36_kda_phospho-tyrosine_adapter_protein
O43561	linker_for_activation_of_t-cells_family_member_1
O43561	p36-38
O43561-2	36_kda_phospho-tyrosine_adapter_protein
O43561-2	isoform_2_of_linker_for_activation_of_t-cells_fami36_kda_phospho-tyrosine_adapter_protein
O43561-2	p36-38
O43567	e3_ubiquitin-protein_ligase_rnf13
O43567	ring_finger_protein_13
O43567	ring-type_e3_ubiquitin_transferase_rnf13
O43597	protein_sprouty_homolog_2
O43609	protein_sprouty_homolog_1
O43615	mitochondrial_import_inner_membrane_translocase_subunit_tim44
O43660	pleiotropic_regulator_1
O43660-2	isoform_2_of_pleiotropic_regulator_1
O43683	bub1a
O43683	mitotic_checkpoint_serine/threonine-protein_kinasebub1a
O43684	mitotic_checkpoint_protein_bub3
O43731-2	isoform_2_of_er_lumen_protein-retaining_receptor_3kdel_endoplasmic_reticulum_protein_retention_receptor_3
O43731-2	kdel_endoplasmic_reticulum_protein_retention_receptor_3
O43734-2	connection_to_ikk_and_sapk/jnk
O43734-2	isoform_2_of_adapter_protein_ciks
O43734-2	nuclear_factor_nf-kappa-b_activator_1
O43734-2	traf3-interacting_protein_2
O43795	myh-1c
O43795	myosin_i_alpha
O43795	unconventional_myosin-ib
O43809	cleavage_and_polyadenylation_specificity_factor_25cleavage_factor_im_complex_25_kda_subunit
O43809	cleavage_and_polyadenylation_specificity_factor_sucleavage_and_polyadenylation_specificity_factor_25cleavage_factor_im_complex_25_kda_subunit
O43809	cleavage_factor_im_complex_25_kda_subunit
O43809	nucleoside_diphosphate-linked_moiety_x_motif_21
O43809	nudix_hydrolase_21
O43809	pre-mrna_cleavage_factor_im_68_kda_subunit
O43823	a-kinase_anchor_protein_8
O43823	a-kinase_anchor_protein_95_kda
O43914	dnax-activation_protein_12
O43914	killer-activating_receptor-associated_protein
O43914	tyro_protein_tyrosine_kinase-binding_protein
O55777	non-structural_protein_v
O56264	non-structural_protein_1
O56264	ns1a
O60231	atp-dependent_rna_helicase_#3
O60231	deah-box_protein_16
O60231	pre-mrna-splicing_factor_atp-dependent_rna_helicasatp-dependent_rna_helicase_#3
O60260	e3_ubiquitin-protein_ligase_parkin
O60260	parkin_rbr_e3_ubiquitin-protein_ligase
O60260	parkinson_juvenile_disease_protein_2
O60264	sucrose_nonfermenting_protein_2_homolog
O60264	swi/snf-related_matrix-associated_actin-dependent_sucrose_nonfermenting_protein_2_homolog
O60271	cancer/testis_antigen_89
O60271	c-jun-amino-terminal_kinase-interacting_protein_4
O60271	human_lung_cancer_oncogene_6_protein
O60271	jnk-associated_leucine-zipper_protein
O60271	mitogen-activated_protein_kinase_8-interacting_proproliferation-inducing_protein_6
O60271	proliferation-inducing_protein_6
O60271	protein_highly_expressed_in_testis
O60271	sperm_surface_protein
O60271	sperm-associated_antigen_9
O60271	sperm-specific_protein
O60271	sunday_driver_1
O60282	kinesin_heavy_chain_isoform_5c
O60282	kinesin_heavy_chain_neuron-specific_2
O60307	microtubule-associated_serine/threonine-protein_kinase_3
O60315	smad-interacting_protein_1
O60315	zinc_finger_e-box-binding_homeobox_2
O60315	zinc_finger_homeobox_protein_1b
O60341	braf35-hdac_complex_protein_bhc110
O60341	flavin-containing_amine_oxidase_domain-containing_protein_2
O60341	lysine-specific_histone_demethylase_1a
O60341-1	braf35-hdac_complex_protein_bhc110
O60341-1	flavin-containing_amine_oxidase_domain-containing_protein_2
